FROTA;ANO;MES;LAT;LON;EFF;LAGE;BRANCA;BANDOLIM
BRA;1998;1;0;25;24520;1600;100;2900
BRA;1998;1;0;30;155450;38500;1000;43900
BRA;1998;1;5;25;34300;15800;900;7900
BRA;1998;1;10;30;192666;8800;101800;7500
BRA;1998;1;10;35;109705;4100;71900;1500
BRA;1998;1;20;25;19380;400;1200;400
BRA;1998;2;0;30;96830;7800;400;22200
BRA;1998;2;5;25;27460;900;200;4900
BRA;1998;2;5;30;7820;700;300;300
BRA;1998;2;10;30;62368;2300;23200;1800
BRA;1998;2;10;35;71910;3100;40800;1200
BRA;1998;2;15;25;18900;1300;2200;200
BRA;1998;3;5;20;105300;1200;400;26100
BRA;1998;3;15;35;186646;5600;161200;700
BRA;1998;4;0;30;16800;27100;2900;11400
BRA;1998;4;10;35;18528;300;19400;500
BRA;1998;4;15;35;139528;700;107300;800
BRA;1998;5;0;35;4830;100;100;100
BRA;1998;5;30;45;34920;300;23200;800
BRA;1998;5;35;40;141868;2000;140800;300
BRA;1998;5;35;45;72390;1200;62600;200
BRA;1998;5;35;50;30200;100;22200;400
BRA;1998;6;15;25;30500;1800;700;200
BRA;1998;6;30;30;3720;200;3700;100
BRA;1998;6;30;45;215100;14000;184000;3900
BRA;1998;6;35;45;82630;10000;69900;1700
BRA;1998;6;35;50;7200;600;5200;100
BRA;1998;7;15;25;36200;1900;900;700
BRA;1998;7;25;45;11040;100;3200;100
BRA;1998;7;30;45;273670;15100;167700;5500
BRA;1998;7;30;50;117034;10800;139400;9400
BRA;1998;7;35;40;3840;100;2400;100
BRA;1998;7;35;45;62140;2300;38000;1800
BRA;1998;8;10;30;4500;100;200;400
BRA;1998;8;25;45;10560;600;13600;1000
BRA;1998;8;30;45;180036;29500;88500;31600
BRA;1998;8;30;50;200333;22200;166600;13200
BRA;1998;9;0;45;3600;200;900;100
BRA;1998;9;25;45;49440;1400;24300;600
BRA;1998;9;30;45;128165;7200;26200;2800
BRA;1998;9;30;50;19584;300;4400;400
BRA;1998;9;35;45;6304;300;1500;100
BRA;1998;10;0;0;3550;200;200;600
BRA;1998;10;0;20;15600;100;100;2100
BRA;1998;10;0;25;25359;800;2300;2200
BRA;1998;10;0;30;38913;2500;500;6600
BRA;1998;10;5;30;156272;8600;101300;8900
BRA;1998;10;10;30;27260;3300;8200;1800
BRA;1998;10;10;35;33540;2300;6500;5400
BRA;1998;10;15;35;84780;1700;62400;100
BRA;1998;10;20;35;62020;1000;22300;100
BRA;1998;11;0;25;115935;6100;800;25400
BRA;1998;11;0;30;134458;10700;2000;25500
BRA;1998;11;5;30;294009;8000;157400;13100
BRA;1998;11;10;15;2850;100;400;200
BRA;1998;11;10;30;270882;4200;109000;2800
BRA;1998;11;10;35;182603;5200;93400;700
BRA;1998;11;15;10;2700;200;400;100
BRA;1998;11;15;15;1800;200;100;100
BRA;1998;11;20;25;6500;400;500;100
BRA;1998;12;0;25;116693;4200;200;29700
BRA;1998;12;5;25;37980;600;1000;5900
BRA;1998;12;10;25;11800;200;3900;700
BRA;1998;12;10;30;430002;5100;170100;3300
BRA;1998;12;10;35;103480;1200;31500;800
BRA;1998;12;15;25;24200;2000;4400;900
BRA;1998;12;15;30;205760;2100;94000;300
BRA;1999;1;0;30;11405;8295,33;5064,83;324,1744
BRA;1999;1;20;40;15400;82,9533;57,95;7,3676
BRA;1999;2;0;30;49045;27291,6357;602,68;2298,6912
BRA;1999;2;0;35;12200;3069,2721;11,59;243,1308
BRA;1999;2;20;30;13200;497,7198;776,53;29,4704
BRA;1999;2;20;40;29400;165,9066;34,77;58,9408
BRA;1999;2;25;40;15700;497,7198;162,26;58,9408
BRA;1999;2;25;45;26156;1078,3929;139,08;243,1308
BRA;1999;3;0;30;68455;66030,8268;3210,43;3698,5352
BRA;1999;3;0;35;7232;6885,1239;11,59;412,5856
BRA;1999;3;20;25;14550;995,4396;197,03;7,3676
BRA;1999;3;20;30;21300;11696,4153;753,35;58,9408
BRA;1999;3;20;40;18100;248,8599;57,95;29,4704
BRA;1999;3;20;45;8070;248,8599;46,36;139,9844
BRA;1999;3;25;45;53501;2405,6457;220,21;567,3052
BRA;1999;4;0;25;14600;10949,8356;81,13;390,4828
BRA;1999;4;0;30;51716;28867,7484;2804,78;2070,2956
BRA;1999;4;0;35;8752;4479,4782;498,37;139,9844
BRA;1999;4;5;30;2000;248,8599;11,59;22,1028
BRA;1999;4;20;25;10516;1659,066;81,13;14,7352
BRA;1999;4;20;30;24311;10866,8823;370,88;125,2492
BRA;1999;4;20;40;35000;6802,1706;1135,82;58,9408
BRA;1999;5;0;25;3100;1161,3462;34,77;29,4704
BRA;1999;5;0;30;39900;27042,7758;683,81;832,5388
BRA;1999;5;20;25;14400;1990,8792;57,95;66,3084
BRA;1999;5;20;30;6000;414,7665;11,59;7,3676
BRA;1999;5;20;40;9400;912,4863;312,93;2939,6724
BRA;1999;5;25;45;41000;331,8132;3001,81;1075,6696
BRA;1999;6;0;30;23800;8958,9564;394,06;287,3364
BRA;1999;6;0;35;10210;414,7665;127,49;7,3676
BRA;1999;6;20;40;5000;82,9533;150,67;1259,8596
BRA;1999;6;25;40;4200;165,9066;382,47;29,4704
BRA;1999;6;25;45;38480;1327,2528;2271,64;250,4984
BRA;1999;6;30;45;12900;1742,0193;2364,36;81,0436
BRA;1999;7;5;30;13900;3235,1787;336,11;162,0872
BRA;1999;7;25;40;63300;20489,4651;2758,42;1075,6696
BRA;1999;7;25;45;54660;2903,3655;1900,76;1267,2272
BRA;1999;8;0;35;7220;2654,5056;11,59;44,2056
BRA;1999;8;5;30;11120;1742,0193;57,95;14,7352
BRA;1999;8;20;40;25200;663,6264;718,58;302,0716
BRA;1999;8;25;40;47400;1990,8792;1877,58;1105,14
BRA;1999;8;25;45;42860;11032,7889;2063,02;302,0716
BRA;1999;8;30;45;22700;15595,2204;1750,09;169,4548
BRA;1999;9;0;30;800;165,9066;11,59;14,7352
BRA;1999;9;0;35;11290;4728,3381;104,31;22,1028
BRA;1999;9;5;30;5400;1078,3929;173,85;139,9844
BRA;1999;9;20;40;21200;1161,3462;46,36;7,3676
BRA;1999;9;25;40;36800;1327,2528;718,58;287,3364
BRA;1999;9;25;45;20600;1244,2995;683,81;125,2492
BRA;1999;9;30;45;19500;4562,4315;486,78;36,838
BRA;1999;10;0;30;4800;995,4396;173,85;58,9408
BRA;1999;10;0;35;13500;5309,0112;301,34;810,436
BRA;1999;10;20;40;11400;165,9066;139,08;22,1028
BRA;1999;10;25;40;28600;2488,599;359,29;110,514
BRA;1999;10;25;45;33800;1990,8792;231,8;154,7196
BRA;1999;10;30;40;8000;3318,132;127,49;58,9408
BRA;1999;10;30;45;17000;3235,1787;475,19;117,8816
BRA;1999;10;30;50;2000;18249,726;428,83;66,3084
BRA;1999;11;0;30;25800;19908,792;741,76;1554,5636
BRA;1999;11;0;35;6400;4230,6183;57,95;361,0124
BRA;1999;11;5;30;12000;5226,0579;776,53;14,7352
BRA;1999;11;10;35;21000;11115,7422;788,12;51,5732
BRA;1999;11;15;35;13000;2571,5523;347,7;117,8816
BRA;1999;11;20;40;7000;248,8599;11,59;7,3676
BRA;1999;12;0;30;19200;13355,4813;486,78;1046,1992
BRA;1999;12;0;35;12300;14102,061;23,18;346,2772
BRA;1999;12;5;30;13800;4562,4315;556,32;58,9408
BRA;1999;12;10;35;2630;829,533;289,75;14,7352
BRA;1999;12;20;35;21100;29116,6083;822,89;44,2056
BRA;1999;12;25;45;20200;912,4863;23,18;7,3676
BRA;2000;1;0;30;66400;12827,76;1524,37;17725,18
BRA;2000;1;0;35;4000;348,04;21,47;2261,13
BRA;2000;1;5;30;1000;447,48;21,47;51,98
BRA;2000;2;0;25;3400;348,04;21,47;831,68
BRA;2000;2;0;30;124030;18446,12;4637,52;21909,57
BRA;2000;2;0;35;9200;2013,66;42,94;2754,94
BRA;2000;2;5;30;900;223,74;42,94;25,99
BRA;2000;3;0;20;1000;74,58;42,94;25,99
BRA;2000;3;0;25;11200;2610,3;236,17;1429,45
BRA;2000;3;0;30;73390;11535,04;3091,68;6939,33
BRA;2000;3;0;35;22600;2013,66;579,69;5457,9
BRA;2000;4;0;25;20720;1019,26;128,82;2884,89
BRA;2000;4;0;30;24700;1019,26;128,82;1637,37
BRA;2000;5;0;20;1000;24,86;42,94;77,97
BRA;2000;5;0;25;10700;422,62;558,22;675,74
BRA;2000;5;0;30;14700;969,54;300,58;1299,5
BRA;2000;5;0;35;20880;1690,48;236,17;519,8
BRA;2000;5;5;30;11600;447,48;64,41;493,81
BRA;2000;6;5;30;12030;845,24;42,94;415,84
BRA;2000;6;10;25;5480;74,58;300,58;77,97
BRA;2000;6;30;45;5100;129,95;531,1;33,9
BRA;2000;7;0;30;15900;931,12;42,94;1092,71
BRA;2000;7;5;30;26300;1038,47;1187,63;1770,71
BRA;2000;7;10;30;13400;546,92;987,62;493,81
BRA;2000;7;25;45;28000;4796,85;3802,45;442,96
BRA;2000;7;30;45;13350;4723,4;2113,1;169,5
BRA;2000;7;30;50;10000;870,1;2615,95;519,8
BRA;2000;8;0;30;14400;720,94;21,47;1091,58
BRA;2000;8;5;30;37270;757,1;1748,11;1498,38
BRA;2000;9;0;35;20800;1588,78;21,47;33,9
BRA;2000;9;5;30;10600;253,12;375,16;765,01
BRA;2000;9;30;45;7200;1627,2;135,6;67,8
BRA;2000;9;30;50;11800;4497,4;293,8;33,9
BRA;2000;10;0;30;9850;1939,08;386,46;1403,46
BRA;2000;10;5;30;27200;795,52;791;1779,75
BRA;2000;10;10;30;13200;56,5;169,5;1921
BRA;2000;10;30;50;14000;7887,4;1017;1553,75
BRA;2000;11;0;30;44887;6255,68;792,13;5049,97
BRA;2000;11;5;30;13200;565;1808;2457,75
BRA;2000;11;30;45;24100;751,45;292,67;96,05
BRA;2000;11;30;50;5000;378,55;135,6;16,95
BRA;2000;12;0;30;42050;4592,32;7297,54;1987,67
BRA;2000;12;5;30;21168;1837,38;2904,1;2499,56
BRA;2000;12;10;25;9600;101,7;1276,9;361,6
BRA;2000;12;30;45;11000;412,45;113;254,25
BRA;2001;1;0;25;7900;2013,999;98,0275;1213,846
BRA;2001;1;0;30;71750;13528,1566;1882,8625;12919,064
BRA;2001;1;0;35;34350;3972,515;39,211;592,12
BRA;2001;1;15;20;3600;56,5;389,85;67,8
BRA;2001;2;0;20;1190;309,846;19,6055;266,454
BRA;2001;2;0;25;26810;2663,184;236,622;9407,702
BRA;2001;2;0;30;115210;14065,901;2372,2655;21794,084
BRA;2001;2;0;35;8050;278,8614;137,2385;236,848
BRA;2001;2;10;30;1200;309,846;39,211;177,636
BRA;2001;3;0;20;2300;76,1846;36,5555;67,8
BRA;2001;3;0;25;16380;938,6458;381,488;1446,174
BRA;2001;3;0;30;105216;15394,894;3110,7205;15699,316
BRA;2001;3;0;35;18800;1826,2608;134,583;714,838
BRA;2001;4;0;25;37520;2695,6602;254,8715;3049,418
BRA;2001;4;0;30;84580;11957,8634;2643,5785;6082,338
BRA;2001;4;0;35;7400;526,7382;117,633;769,756
BRA;2001;5;0;30;33900;3372,5754;1409,9575;1496,12
BRA;2001;5;0;35;4600;526,7382;58,8165;118,424
BRA;2001;5;15;30;1200;30,9846;39,211;266,454
BRA;2001;6;0;30;19700;1115,4456;333,2935;2398,086
BRA;2001;7;0;30;18800;2602,7064;196,055;3227,054
BRA;2001;9;5;25;8960;350,3;197,75;694,95
BRA;2001;10;0;25;4300;61,9692;155,2055;1103,332
BRA;2001;10;5;25;19550;214,7;870,1;3260,05
BRA;2001;11;0;25;7000;92,9538;137,2385;1598,724
BRA;2001;12;5;30;2850;509,63;1817,04;113
BRA;2002;2;0;25;7800;2131,18;188,71;1098,36
BRA;2002;2;0;30;13100;6543,83;73,45;1654,32
BRA;2002;2;0;35;3100;624,89;28,25;149,16
BRA;2002;2;5;30;1300;207,92;22,6;40,68
BRA;2002;2;30;35;29550;540,5;20,34;15
BRA;2002;3;0;25;5000;1039,6;22,6;325,44
BRA;2002;3;0;30;16370;1830,6;216,96;978,58
BRA;2002;3;5;25;1000;711,9;22,6;153,68
BRA;2002;3;5;30;1300;311,88;113;81,36
BRA;2002;3;5;35;7000;3000,15;50,85;653,14
BRA;2002;3;25;30;10250;129,8290323;113;87
BRA;2002;3;25;40;20220;1103,120732;29,95;2273,15
BRA;2002;3;25;45;18600;196,4166667;175,3888889;57,85714286
BRA;2002;3;30;25;111880;5310,159376;1536,306667;213
BRA;2002;3;30;30;55070;386,8935484;443,2166667;200,2857143
BRA;2002;3;30;35;14560;169,4020737;19,96666667;6,571428571
BRA;2002;3;30;40;14000;49,42857143;217,3111111;26,28571429
BRA;2002;4;0;25;1800;159,33;27,12;117,52
BRA;2002;4;5;35;2000;1576,35;39,55;307,36
BRA;2002;4;25;45;14150;108,7294118;432,1176471;440,1451613
BRA;2002;4;30;45;17100;343,7627528;922,9609533;358,1067767
BRA;2002;4;30;50;37670;2778,321871;2349,645538;1159,960853
BRA;2002;4;35;50;2200;146,1859649;145,0758621;251,8372093
BRA;2002;5;25;45;49960;467,6304348;1479,313174;302,0077519
BRA;2002;5;30;45;48910;802,0478998;4997,074441;1535,379264
BRA;2002;5;30;50;70530;8920,121665;11339,26238;9570,912984
BRA;2002;6;25;45;28390;375,2591549;1177,494954;190,8703704
BRA;2002;6;30;45;29550;9369,219459;3530,260465;1207,412156
BRA;2002;6;30;50;73190;55710,1809;11004,59379;9792,467474
BRA;2002;7;25;45;59550;109,6;3562,268572;928,0798587
BRA;2002;7;30;45;66590;7177,276109;8467,459465;2131,040936
BRA;2002;7;30;50;89550;23451,95296;8940,169899;6253,285246
BRA;2002;8;25;40;9300;2648;1560,5;78
BRA;2002;8;25;45;54595;621,5817391;4353,941966;604,7086957
BRA;2002;8;30;45;32615;1548,478261;1636,495726;912,3913043
BRA;2002;8;30;50;29260;5214,9;1152,592308;2097,1
BRA;2002;9;25;45;56155;12495,3;3813,55;772,65
BRA;2002;9;30;45;37800;2909;1629;665
BRA;2002;9;30;50;43240;7898,022222;3305,577778;9483,65
BRA;2002;9;35;50;3400;373;724;37
BRA;2002;10;30;45;20000;3963,461538;367,5;355
BRA;2002;10;30;50;11200;972,7076923;107,7;56,5
BRA;2002;10;35;45;19250;122,35;77,15;183
BRA;2002;11;30;25;8400;127,8;33,9;117,2333333
BRA;2002;11;30;30;33700;1155,4;216,05;425
BRA;2002;11;30;45;4600;281;33,33333333;117,8571429
BRA;2002;11;30;50;36150;11954;1022,666667;4769,485714
BRA;2002;12;30;30;12850;787,1;15;160,4
BRA;2002;12;30;45;1200;3700;15;40
