FROTA;ANO;MES;LAT;LON;EFF;LAGE;BRANCA;BANDOLIM
BRA;2003;9;0;25;11200;915;452;100
BRA;2003;9;0;30;2400;90;135;65
BRA;2003;9;5;30;13440;1005;880;230
BRA;2003;10;5;30;23520;140;2175;1610
BRA;2003;11;0;25;2880;1500;940;822
BRA;2003;11;5;25;20800;8100;6595;3995
BRA;2003;11;10;25;6240;2780;620;1480
BRA;2003;12;5;25;4160;1305;725;1420
BRA;2003;12;5;30;2080;980;90;340
BRA;2003;12;10;25;5200;1560;965;1275
BRA;2003;1;30;50;15480;349;182;336
BRA;2003;1;35;50;3900;29;29;45
BRA;2003;2;30;30;9740;139;21;22
BRA;2003;2;30;40;6700;105;61;12
BRA;2003;3;30;50;15400;119;114;113
BRA;2003;4;25;45;15200;226;774;96
BRA;2003;4;30;45;13800;110;883;201
BRA;2003;4;30;50;10500;63;879;81
BRA;2003;5;25;45;18900;1096;72;90
BRA;2003;5;30;45;37250;2110;1743;258
BRA;2003;5;30;50;37850;4806;6484;3251
BRA;2003;6;25;45;23400;971;294;339
BRA;2003;6;30;45;31000;3974;2745;1408
BRA;2003;6;30;50;37400;6741;4622;4848
BRA;2003;7;25;45;46420;2551;9190;4206
BRA;2003;7;30;45;42040;240;3645;648
BRA;2003;7;30;50;38930;1087;1952;1753
BRA;2003;8;25;45;16600;723;671;105
BRA;2003;8;30;45;71100;19944;7535;1129
BRA;2003;8;30;50;12500;853;1331;1272
BRA;2003;9;25;40;13150;93;90;121
BRA;2003;9;25;45;21200;287;1124;388
BRA;2003;9;30;45;6450;209;474;311
BRA;2003;9;30;50;46200;11668;3758;4796
BRA;2003;10;30;45;27370;606;319;60
BRA;2003;10;30;50;9910;1255;248;689
BRA;2003;11;25;45;138960;197;309;198
BRA;2003;11;30;45;33600;1130;297;110
BRA;2003;11;30;50;27000;578;425;1469
BRA;2003;5;0;30;15300;210;350;460
BRA;2003;7;0;30;15600;3420;80;3405
BRA;2003;7;5;30;1300;70;20;90
BRA;2003;8;0;30;3980;223;85;20
BRA;2003;8;5;30;800;25;45;100
BRA;2003;9;0;25;12000;1200;350;1640
BRA;2003;9;5;30;10800;1740;60;600
BRA;2003;10;0;25;28400;1050;470;1766
BRA;2003;11;0;25;41200;2874;1118;4958
BRA;2003;11;0;30;63100;8979;1161;16622
BRA;2003;11;0;35;1250;130;20;300
BRA;2003;11;5;30;6000;641;542;592
BRA;2003;12;0;30;44000;5029;1264;10984
BRA;2003;4;30;50;5250;830;2430;265
BRA;2003;4;35;50;750;70;455;50
BRA;2003;5;30;45;750;140;90;110
BRA;2003;5;30;50;6000;1360;1320;370
BRA;2003;6;30;50;2250;810;300;240
BRA;2003;6;35;45;750;440;200;90
BRA;2003;6;35;50;1500;520;290;80
BRA;2003;8;30;50;3000;420;520;460
BRA;2003;8;35;50;1500;280;420;220
BRA;2003;9;30;50;8102;5785;1190;970
BRA;2003;10;30;50;7850;5975;485;260
BRA;2003;11;30;50;7134;2870;395;920
BRA;2003;11;35;50;1435;270;50;230
BRA;2003;12;30;50;1450;310;20;170
BRA-ESP;2003;1;20;25;40656;4639;1840;5015
BRA-ESP;2003;1;20;30;4150;1235;610;985
BRA-ESP;2003;1;20;45;1050;275;75;260
BRA-ESP;2003;10;0;0;2052;210;20;165
BRA-ESP;2003;10;0;25;16406;2510;220;1406
BRA-ESP;2003;10;0;30;7714;630;220;980
BRA-ESP;2003;11;0;25;24472;1760;700;2350
BRA-ESP;2003;11;0;30;3306;895;480;800
BRA-ESP;2003;11;5;25;7346;445;180;810
BRA-ESP;2003;11;5;30;3306;240;320;540
BRA-ESP;2003;12;0;30;16058;4915;840;4265
BRA-ESP;2003;12;0;35;1073;700;80;345
BRA-ESP;2003;12;5;30;1070;120;60;330
BRA-ESP;2003;12;20;20;26510;11319;10292;2571
BRA-ESP;2003;12;20;25;18949;3760;4280;2730
BRA;2004;4;30;40;19000;110;806;186
BRA;2004;4;30;45;17090;126;520;18419
BRA;2004;5;30;45;20200;260;1299;318
BRA;2004;5;30;50;2080;52;63;8
BRA;2004;6;25;45;20430;1145;867;309
BRA;2004;6;30;45;30700;2704;2465;472
BRA;2004;6;30;50;8600;8290;978;187
BRA;2004;7;25;45;21640;120;466;183
BRA;2004;7;30;45;30450;216;703;220
BRA;2004;7;30;50;9850;5592;1495;479
BRA;2004;8;25;45;15000;156;120;105
BRA;2004;8;30;50;6300;12857;3464;978
BRA;2004;9;25;40;7500;167;65;46
BRA;2004;9;25;45;40200;788;679;413
BRA;2004;9;30;45;43000;1264;501;630
BRA;2004;9;30;50;1900;2189;31;93
BRA;2004;10;25;45;3800;17;122;22
BRA;2004;10;30;45;29750;384;445;22
BRA;2004;11;30;45;23300;1803;186;65
BRA;2004;12;30;30;21870;13;36;32
BRA;2004;12;30;45;9000;270;26;33
BRA;2004;1;0;30;86540;9259;1183;14373
BRA;2004;1;0;35;11200;178;35;645
BRA;2004;2;0;30;27000;4712;2571;4925
BRA;2004;2;0;35;2400;280;40;680
BRA;2004;3;0;35;47900;6469;136;8542
BRA;2004;4;0;30;7300;1398;684;1080
BRA;2004;4;0;35;22800;4644;172;4202
BRA;2004;5;0;25;13900;1360;80;140
BRA;2004;5;0;30;53000;6498;478;2184
BRA;2004;5;0;35;8400;720;114;175
BRA;2004;6;0;30;56610;10402;726;3677
BRA;2004;6;0;35;4660;467;36;269
BRA;2004;7;0;25;6400;210;28;400
BRA;2004;7;0;30;78112;7412;1147;3766
BRA;2004;7;0;35;17595;450;40;185
BRA;2004;8;0;25;13497;1434;286;7005
BRA;2004;8;0;30;40357;5312;815;6085
BRA;2004;9;0;25;52356;5504;1578;19770
BRA;2004;9;0;30;103538;8830;1506;18546
BRA;2004;10;0;25;109195;12164;3907;31936
BRA;2004;10;0;30;69576;4791;946;10481
BRA;2004;10;0;35;2550;300;20;400
BRA;2004;11;0;30;40755;1366;745;6146
BRA;2004;11;0;35;166310;28177;5120;20493
BRA;2004;12;0;25;11200;595;195;3300
BRA;2004;12;0;30;149499;22637;2407;19291
BRA;2004;12;0;35;69801;4187;637;12028
BRA;2004;12;5;30;11643;568;225;345
BRA;2004;7;30;45;7260;710;245;125
BRA;2004;5;25;40;8850;20;258;190
BRA;2004;5;25;45;32000;700;260;110
BRA;2004;6;25;45;31300;120;1060;80
BRA;2004;7;25;45;39300;105;995;30
BRA;2004;8;25;45;44200;85;400;30
BRA;2004;9;25;40;18200;168;90;130
BRA-ESP;2004;2;15;25;30100;3995;320;12530
BRA-ESP;2004;4;0;30;2000;980;30;160
BRA-ESP;2004;2;0;30;18360;3780;100;3650
BRA-ESP;2004;4;0;30;864;50;380;305
BRA-ESP;2004;8;0;25;23434;1370;170;9505
BRA-ESP;2004;8;0;30;26559;639;135;8705
BRA-ESP;2004;9;0;25;21569;565;130;5750
BRA-ESP;2004;9;0;30;21509;900;230;6785
BRA-ESP;2004;9;5;20;1992;165;125;20
BRA-ESP;2004;9;5;25;15965;308;3203;105
BRA-ESP;2004;10;0;25;5410;85;60;1045
BRA-ESP;2004;10;0;30;32486;1990;1060;9570
BRA-ESP;2004;10;5;25;30574;1174;1629;4789
BRA-ESP;2004;10;5;30;4035;230;157;491
BRA-ESP;2004;10;10;30;20540;426;7156;5658
BRA-ESP;2004;11;0;30;10734;760;250;1630
BRA-ESP;2004;11;0;35;39915;685;590;10597
BRA-ESP;2004;11;5;25;2850;40;1335;540
BRA-ESP;2004;11;5;30;12870;610;1369;4090
BRA-ESP;2004;11;10;25;2140;61;330;134
BRA-ESP;2004;11;10;30;32445;3053;8251;13262
BRA-ESP;2004;11;10;35;5170;364;427;42
BRA-ESP;2004;12;0;30;3290;130;130;217
BRA-ESP;2004;12;0;35;43416;2500;150;18390
BRA-ESP;2004;12;5;30;3210;138;320;422
BRA-ESP;2004;12;10;30;3210;238;750;406
BRA-ESP;1998;2;15;25;18900;1300;2200;200
BRA-ESP;1998;4;0;30;16900;26800;2800;11400
BRA-ESP;1998;4;0;35;1900;4700;700;4000
BRA-ESP;1998;6;15;25;30500;1800;700;200
BRA-ESP;1998;7;15;25;36200;1900;900;700
BRA-ESP;1998;8;5;30;6100;500;100;600
BRA-ESP;1998;8;10;30;4500;100;200;400
BRA-ESP;1998;10;20;35;2300;400;100;100
BRA-ESP;1998;11;5;30;4400;200;100;900
BRA-ESP;1998;11;10;15;2850;100;400;200
BRA-ESP;1998;11;15;10;2700;200;400;100
BRA-ESP;1998;11;15;15;1800;200;100;100
BRA-ESP;1998;11;20;25;6500;400;500;100
BRA-ESP;1998;12;10;25;2200;200;1200;400
BRA-ESP;1998;12;15;25;24200;2000;4400;900
BRA-ESP;1999;1;15;25;35900;3847,65;31010;904
BRA-ESP;1999;2;0;30;11800;12870,7;40;16786,15
BRA-ESP;1999;2;0;35;3500;3423,9;550;2825
BRA-ESP;1999;2;15;25;34500;2005,75;4195;2000,1
BRA-ESP;1999;3;0;35;18700;7977,8;100;12565,6
BRA-ESP;1999;4;0;30;13400;1949,25;40;3565,15
BRA-ESP;1999;5;0;20;5500;627,15;20;56,5
BRA-ESP;1999;5;5;20;3300;203,4;120;180,8
BRA-ESP;1999;6;0;20;8800;45,2;30;56,5
BRA-ESP;1999;6;5;20;13200;627,15;316;508,5
BRA-ESP;1999;6;15;25;30000;700,6;345;1943,6
BRA-ESP;1999;7;15;25;32900;576,3;385;1116,44
BRA-ESP;1999;7;15;30;41520;926,6;1060;1214,75
BRA-ESP;1999;8;5;30;7000;2197,85;1890;5650
BRA-ESP;1999;8;10;30;24900;9175,6;2394;1084,8
BRA-ESP;1999;8;15;30;10100;372,9;220;322,05
BRA-ESP;1999;8;25;40;24600;2875,85;920;1740,2
BRA-ESP;1999;9;25;40;58500;13729,5;2770;45,2
BRA-ESP;1999;9;30;45;11000;1587,65;1585;2220,45
BRA-ESP;1999;9;30;50;4000;350,3;240;785,35
BRA-ESP;1999;10;25;40;45180;6669,26;2485;1401,2
BRA-ESP;1999;10;25;45;7550;870,1;160;67,8
BRA-ESP;1999;10;30;45;11800;1299,5;375;802,3
BRA-ESP;1999;11;5;30;25703;18813,37;2270;5311
BRA-ESP;1999;11;10;30;23728;20234,91;1415;1237,35
BRA-ESP;1999;11;10;35;45660;17857,39;6384;1604,6
BRA-ESP;1999;11;25;40;5000;644,1;70;45,2
BRA-ESP;1999;12;5;30;4230;1695;450;1356
BRA-ESP;2000;6;10;30;83116;1954,9;34811,91;1655,45
BRA-ESP;2000;6;15;25;161887;5220,6;41875,54;5763
BRA-ESP;2000;6;15;30;113106;2384,3;30769,9;4644,3
BRA-ESP;2000;6;20;25;6200;293,8;706,25;62,15
BRA-ESP;2000;7;5;30;8260;910,78;1096,1;548,05
BRA-ESP;2000;7;10;30;34350;1078,02;19523,01;418,1
BRA-ESP;2000;7;10;35;30055;3412,6;5016,07;192,1
BRA-ESP;2000;7;15;25;46180;1513,07;9481,83;282,5
BRA-ESP;2000;7;15;30;128920;4298,52;44378,49;5034,15
BRA-ESP;2000;7;15;35;53677;2021,57;9583,53;186,45
BRA-ESP;2000;8;0;30;11496;1700,65;1841,9;519,8
BRA-ESP;2000;8;10;35;72479;21488,08;26491,72;214,7
BRA-ESP;2000;10;10;35;28100;8994,8;96,05;3333,5
BRA-ESP;2000;11;0;30;2090;1186,5;16,95;915,3
BRA-ESP;2000;11;5;25;23900;1690,48;7052,33;4649,95
BRA-ESP;2000;11;5;30;31160;11141,8;16113,8;10785,85
BRA-ESP;2000;12;5;25;16870;17294,65;265,55;14277,55
BRA-ESP;2000;12;10;25;43749;305,1;51270,36;9994,85
BRA-ESP;2000;12;15;25;26910;870,1;35758,85;10893,2
BRA-ESP;2000;12;20;25;92840;2971,9;27498,55;9989,2
BRA-ESP;2001;1;15;25;126808;2243,05;50947,18;3723,35
BRA-ESP;2001;1;20;25;137270;13424,4;38009,81;2084,85
BRA-ESP;2001;2;15;25;95506;1214,75;42112,84;8152,95
BRA-ESP;2001;2;20;25;61400;943,55;17737,61;807,95
BRA-ESP;2001;4;10;30;9520;2013,66;339;344,65
BRA-ESP;2001;4;15;25;60619;7098,66;7062,5;3825,05
BRA-ESP;2001;4;15;30;64945;9963,21;12701,2;3084,9
BRA-ESP;2001;4;20;25;3100;683,65;113;435,05
BRA-ESP;2001;5;10;25;9125;514,15;276,85;62,15
BRA-ESP;2001;5;15;20;2200;322,05;197,75;387,59
BRA-ESP;2001;5;15;25;127730;49652,2;5952,84;12897,82
BRA-ESP;2001;5;15;30;62660;12234,51;2183,16;4842,05
BRA-ESP;2001;5;20;20;2200;1246,39;531,1;1270,12
BRA-ESP;2001;5;20;25;27000;8699,87;4350,5;8105,49
BRA-ESP;2001;6;10;30;27685;3678,15;875,75;791
BRA-ESP;2001;6;15;25;259255;89680,19;6978,88;21820,3
BRA-ESP;2001;6;15;30;5690;542,4;367,25;461,04
BRA-ESP;2001;6;15;35;3000;485,9;378,55;169,5
BRA-ESP;2001;6;20;20;5500;1769,58;2626,12;670,09
BRA-ESP;2001;6;20;25;47450;16638,12;6104,26;8941,69
BRA-ESP;2001;7;10;25;13745;2175,25;355,95;5343,77
BRA-ESP;2001;7;15;15;1000;339;226;107,35
BRA-ESP;2001;7;15;25;106810;23989,9;5198;15841,47
BRA-ESP;2001;7;15;30;28640;1919,87;1587,65;6935,94
BRA-ESP;2001;7;20;25;32400;27364,08;2863,42;716,42
BRA-ESP;2001;8;10;25;4600;581,95;84,75;466,69
BRA-ESP;2001;9;0;25;3940;442,96;39,55;141,25
BRA-ESP;2001;9;5;20;12000;5123,42;3978,73;2837,43
BRA-ESP;2001;9;5;25;28155;1525,5;531,1;489,29
BRA-ESP;2001;10;5;25;47957;2256,61;4407;3291,69
BRA-ESP;2001;10;5;30;6000;2337,97;265,55;1833,99
BRA-ESP;2001;10;10;30;6062;2005,75;2429,5;1891,62
BRA-ESP;2001;10;10;35;3000;1062,2;762,75;836,2
BRA-ESP;2001;10;15;35;6818;282,5;75,71;169,5
BRA-ESP;2001;11;0;30;5000;2389,95;2271,3;1628,33
BRA-ESP;2001;11;0;35;3000;948,07;1443,01;430,53
BRA-ESP;2001;11;5;25;139935;2632,9;1734,55;16989,55
BRA-ESP;2001;11;5;30;12050;3256,66;3142,53;1111,92
BRA-ESP;2001;11;5;35;2000;1158,25;553,7;401,15
BRA-ESP;2001;11;10;30;20975;6896,39;4634,13;2378,65
BRA-ESP;2001;11;10;35;10000;7128,04;1898,4;1469
BRA-ESP;2001;11;15;35;5000;1397,81;1544,71;1309,67
BRA-ESP;2001;12;5;30;5000;1177,46;1716,47;821,51
BRA-ESP;2001;12;20;20;52707;21922;791;6305,4
BRA-ESP;2001;12;20;25;124222;112909,6;10797,15;12174,62
BRA-ESP;2002;1;20;25;66762;12689,9;8337,14;8517,94
BRA-ESP;2002;1;20;30;7450;2221,58;1452,05;1405,72
BRA-ESP;2002;1;20;45;1050;310,75;84,75;293,8
BRA-ESP;2002;6;15;25;15523;1997,84;90,4;2813,7
BRA-ESP;2002;6;15;30;13967;2047,56;67,8;2904,1
BRA-ESP;2002;7;15;35;7320;2949,3;237,3;1578,61
BRA-ESP;2002;8;25;40;4600;2037,39;1609,12;88,14
BRA-ESP;2002;9;25;45;13980;13130,6;2585,44;46,33
BRA-ESP;2002;9;30;45;900;774,05;107,35;33,9
BRA-ESP;2002;11;25;40;3100;701,73;42,94;45,2
BRA-ESP;2002;12;20;25;43533;339;452;305,1
BRA-ESP;2002;12;20;30;7150;2892,8;1485,95;2378,65
